CustomerID,CheckingBalance,CheckingAccountType,hasBackup,atmCard,Overdrafts,DateOpened,
423453245,789.98,regular,1,0,0,01/30/2008,
345879912,354.03,regular,0,1,0,02/20/2002,
423148894,49.83,regular,1,1,0,03/07/2012,
677879013,148.34,regular,0,1,1,04/15/2017,
345599870,9.54,regular,1,1,2,05/06/2007,
345812332,760.45,regular,1,0,1,06/05/2005,
345879912,9876.54,gold,1,1,0,07/11/2001,
423168945,5874.01,gold,0,1,0,08/14/2015,
285482889,3907.34,gold,1,1,1,09/27/2016,
530360844,3861.97,gold,1,1,1,10/25/2018,
771071482,34.25,regular,0,0,0,11/17/2017,
311925515,72.63,regular,1,1,0,12/30/2009,
851593249,6200.75,gold,0,1,0,01/06/1998,
842297994,1001.87,gold,1,1,1,03/04/2013,
859073870,3476.01,gold,1,1,0,05/31/2000,
137068199,897.99,regular,0,0,3,07/01/2001,
591695408,8850.00,gold,1,1,0,09/10/2005,
228693235,909.09,regular,0,1,2,11/09/1999,
535565040,1567.32,gold,1,1,1,02/12/2016,
377969391,00.01,regular,0,1,0,04/04/2018,
