SSN,description,price,dateOfPurchase
345653425,Walmart,100.00,09/27/2018,
345653425,Luigis Resturaunt,27.99,09/15/2018,
423453245,Couch,600.09,09/20/2018,
423148894,Menards,140.83,09/05/2018,
345599870,Tires N More,78.03,09/13/2018,
345812332,Limo Rental,718.03,09/02/2018,
345812332,Soda,2.46,09/18/2018,
345879912,Walmart,103.49,09/10/2018,
423168945,Menards,70.80,09/09/2018,
235445789,McDonalds,40.45,09/08/2018,
436789213,New Gas Tank,275.41,09/16/2018,
436789213,Pizza Hut,16.67,09/07/2018,
233435656,SWAirlines,449.90,08/29/2018,
435678787,Refrigerator,521.83,09/21/2018,
345679898,Ceasar Salad,3.99,09/18/2018,
