SSN,Description,Price,DateOfPurchase,
345879912,Couch,600.09,11/14/2018,
285482889,Menards,140.83,11/14/2018,
851593249,Tires N More,78.03,11/14/2018,
842297994,Limo Rental,718.03,11/14/2018,
842297994,Soda,2.46,11/14/2018,
345879912,Walmart,103.49,11/14/2018,
423168945,Menards,70.8,11/14/2018,
859073870,McDonalds,40.45,11/14/2018,
591695408,New Gas Tank,275.41,11/14/2018,
591695408,Pizza Hut,16.67,11/14/2018,
228693235,SWAirlines,449.9,11/14/2018,
771071482,Refrigerator,521.83,11/14/2018,
345679898,Ceasar Salad,3.99,11/14/2018,
859437289,Testing Interest,500.0,11/27/2018,
859437289,Testing Interest 2,100.0,11/27/2018,
859437289,Testing Interest 3,100.0,11/27/2018,
